platform	month	eq. cross. time	node
AVN15	2015-08-01	17:29:31.155584	ascending
AVN15	2015-09-01	17:31:25.912438	ascending
AVN15	2015-10-01	17:33:17.396563	ascending
AVN15	2015-11-01	17:35:12.802278	ascending
AVN15	2015-12-01	17:37:06.913241	ascending
AVN15	2016-01-01	17:39:01.772515	ascending
AVN15	2016-02-01	17:40:58.811776	ascending
AVN15	2016-03-01	17:42:50.056283	ascending
AVN15	2016-04-01	17:44:50.340624	ascending
AVN15	2016-05-01	17:46:47.906420	ascending
AVN15	2016-06-01	17:48:49.777038	ascending
AVN15	2016-07-01	17:50:47.247650	ascending
AVN15	2016-08-01	17:52:50.460471	ascending
AVN15	2016-09-01	17:54:53.310960	ascending
AVN15	2016-10-01	17:56:52.929385	ascending
AVN15	2016-11-01	17:58:55.187481	ascending
AVN15	2016-12-01	18:00:52.936237	ascending
AVN15	2017-01-01	18:02:53.901771	ascending
AVN15	2017-02-01	18:04:54.956381	ascending
AVN15	2017-03-01	18:06:45.379379	ascending
AVN15	2017-04-01	18:08:48.470985	ascending
AVN15	2017-05-01	18:10:47.379713	ascending
AVN15	2017-06-01	18:12:49.802097	ascending
AVN15	2017-07-01	18:14:47.541834	ascending
AVN15	2017-08-01	18:16:49.222029	ascending
AVN15	2017-09-01	18:18:51.872475	ascending
AVN15	2017-10-01	18:20:48.660649	ascending
AVN15	2017-11-01	18:22:48.553021	ascending
AVN15	2017-12-01	18:24:41.975089	ascending
AVN15	2018-01-01	18:26:37.965855	ascending
AVN15	2018-02-01	18:28:33.304857	ascending
AVN15	2018-03-01	18:30:18.121830	ascending
AVN15	2018-04-01	18:32:13.430109	ascending
AVN15	2018-05-01	18:34:04.458983	ascending
AVN15	2018-06-01	18:35:57.542599	ascending
AVN15	2018-07-01	18:37:45.606499	ascending
AVN15	2018-08-01	18:39:36.623297	ascending
